_id,attribute_text,company_name,companyind_text,companysize_text,job_href,job_name,jobwelf,providesalary_text,updatedate
61c048af4de410b1db824ff2,深圳-南山区3-4年经验本科招若干人,深圳国泰安教育技术有限公司,教育/培训/院校,500-1000人,https://jobs.51job.com/shenzhen-nsq/128863379.html?s=sou_sou_soulb&t=0_0,人工智能开发工程师,五险一金 绩效奖金 专业培训 年终奖金 定期体检 晋升机会 节日福利 弹性工作,1.2-1.8万/月,12-20
61c048af4de410b1db824ff3,西安无需经验本科招3人,陕西可维卓立科技有限公司,计算机软件,150-500人,https://jobs.51job.com/xian/134149996.html?s=sou_sou_soulb&t=0_0,C++软件开发工程师,绩效奖金 定期体检 弹性工作 员工旅游 五险一金 年终奖金 生日福利 员工体检 周末双休,0.6-1.2万/月,12-20
61c048af4de410b1db824ff4,广州-黄埔区3-4年经验大专招若干人,广州达蒙安防科技有限公司,建筑/建材/工程,500-1000人,https://jobs.51job.com/guangzhou-hpq/136870656.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 带薪年假 包住宿 单双休 节日福利 全勤奖 绩效奖金 餐饮补贴 专业培训,1.1-1.6万/月,12-20
61c048af4de410b1db824ff5,成都-高新区3-4年经验本科招若干人,广州慧扬健康科技有限公司,计算机软件,150-500人,https://jobs.51job.com/chengdu-gxq/134299435.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 补充医疗保险 餐饮补贴 定期体检,1-1.5万/月,12-20
61c048af4de410b1db824ff6,长沙-岳麓区3-4年经验本科招若干人,深圳市乐有家控股集团有限公司,房地产,,https://jobs.51job.com/changsha-ylq/134068425.html?s=sou_sou_soulb&t=0_0,java工程师,,0.8-1万/月,12-20
61c048af4de410b1db824ff7,上海5-7年经验本科招1人,泛林半导体设备技术（上海）有限公司,电子技术/半导体/集成电路,500-1000人,https://jobs.51job.com/shanghai/131512704.html?s=sou_sou_soulb&t=0_0,Equipment Intelligence Service Product Support,五险一金 补充医疗保险 补充公积金 交通补贴 年终奖金 出国机会 专业培训 通讯补贴 餐饮补贴 定期体检,30-40万/年,12-20
61c048af4de410b1db824ff8,南昌-青山湖区5-7年经验大专招2人,江西卓况科技有限公司,计算机软件,少于50人,https://jobs.51job.com/nanchang-qshq/135626757.html?s=sou_sou_soulb&t=0_0,Java高级开发工程师,五险一金 餐饮补贴 补充医疗保险 补充公积金 员工旅游 专业培训 绩效奖金 年终奖金,1.5-2万/月,12-20
61c048af4de410b1db824ff9,杭州-拱墅区3-4年经验大专招5人,浙江汇信科技有限公司,互联网/电子商务,150-500人,https://jobs.51job.com/hangzhou-gsq/134601685.html?s=sou_sou_soulb&t=0_0,中/高级java开发工程师(J10042),五险一金 员工旅游 交通补贴 绩效奖金 餐饮补贴 定期体检 年终奖金,1.5-2.5万/月,12-20
61c048af4de410b1db824ffa,北京1年经验本科招2人,上海红生系统工程有限公司,电子技术/半导体/集成电路,150-500人,https://jobs.51job.com/beijing/122778507.html?s=sou_sou_soulb&t=0_0,软件工程师,周末双休 带薪年假 专业培训 交金 年终奖 行业前景好 发展空间大 办公环境好,15-30万/年,12-20
61c048af4de410b1db824ffb,无锡-滨湖区无需经验本科招若干人,太初（无锡）电子科技有限公司,电子技术/半导体/集成电路,50-150人,https://jobs.51job.com/wuxi-bhq/136191299.html?s=sou_sou_soulb&t=0_0,体系结构量化师,周末双休 五险一金 工作午餐 定期体检,20-40万/年,12-20
61c048af4de410b1db824ffc,深圳-南山区3-4年经验本科招若干人,深圳市青柠互动科技开发有限公司,计算机软件,少于50人,https://jobs.51job.com/shenzhen-nsq/129287181.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 交通补贴 餐饮补贴 年终奖金 周末双休,1.2-2.4万/月,12-20
61c048af4de410b1db824ffd,武汉-洪山区2年经验本科招2人,武汉乐谷在线科技有限公司,网络游戏,150-500人,https://jobs.51job.com/wuhan-hsq/126447843.html?s=sou_sou_soulb&t=0_0,Python开发工程师,绩效奖金 弹性工作 缴纳社保 全勤奖,1-1.5万/月,12-20
61c048af4de410b1db824ffe,深圳-罗湖区3-4年经验大专招1人,深圳一科互联有限公司,计算机软件,50-150人,https://jobs.51job.com/shenzhen-lhq/135209498.html?s=sou_sou_soulb&t=0_0,python高级爬虫工程师,五险一金 绩效奖金 年终奖金 商业险 五天8小时制,2-3万/月,12-20
61c048af4de410b1db824fff,上海-浦东新区1年经验本科招1人,上海楷领科技有限公司,电子技术/半导体/集成电路,50-150人,https://jobs.51job.com/shanghai-pdxq/134877731.html?s=sou_sou_soulb&t=0_0,初级系统构架师,五险一金 补充公积金 员工旅游 弹性工作 年终奖金 领导超级儒雅,1-1.5万/月,12-20
61c048af4de410b1db825000,杭州-西湖区8-9年经验本科招1人,杭州雅顾科技有限公司,计算机软件,150-500人,https://jobs.51job.com/hangzhou-xhq/135730514.html?s=sou_sou_soulb&t=0_0,解决方案架构师,餐饮补贴 年终奖金 弹性工作 六险一金 免费晚餐,3-4万/月,12-20
61c048af4de410b1db825001,东莞-南城区3-4年经验本科招1人,广东奇创网络科技有限公司,互联网/电子商务,50-150人,https://jobs.51job.com/dongguan-ncq/136148193.html?s=sou_sou_soulb&t=0_0,架构工程师,五险一金 绩效奖金 年终奖金 通讯补贴 生活补贴,2-3万/月,12-20
61c048af4de410b1db825002,广州-黄埔区2年经验本科招若干人,广州禾信仪器股份有限公司,仪器仪表/工业自动化,500-1000人,https://jobs.51job.com/guangzhou-hpq/126384640.html?s=sou_sou_soulb&t=0_0,软件工程师（Java),五险一金 员工旅游 餐饮补贴 年终奖金 定期体检 周末双休 绩效奖金,1-1.5万/月,12-20
61c048af4de410b1db825003,深圳-南山区3-4年经验本科招1人,北京和气聚力教育科技有限公司,计算机软件,150-500人,https://jobs.51job.com/shenzhen-nsq/134950271.html?s=sou_sou_soulb&t=0_0,JAVA开发工程师,五险一金 专业培训 年终奖金 弹性工作,1-1.5万/月,12-20
61c048af4de410b1db825004,上海10年以上经验本科招1人,上海全成通信技术有限公司,通信/电信运营、增值服务,150-500人,https://jobs.51job.com/shanghai/114750556.html?s=sou_sou_soulb&t=0_0,总架构师,周末双休 五险一金 绩效奖金 餐饮补贴 年终奖金,40-80万/年,12-20
61c048af4de410b1db825005,大连-高新园区5-7年经验本科招若干人,睿驰电装（大连）电动系统有限公司,电子技术/半导体/集成电路,50-150人,https://jobs.51job.com/dalian-gxyq/135727176.html?s=sou_sou_soulb&t=0_0,产品软件开发工程师 AutoSAR,六险二金 专业培训 自主研发项目 弹性工作 不加班 年终奖金 一级供应商 全额福利 出国机会 专家级团队,2-2.5万/月,12-20
61c048af4de410b1db825006,上海-闵行区3-4年经验本科招1人,上海载德信息科技股份有限公司,通信/电信运营、增值服务,150-500人,https://jobs.51job.com/shanghai-mhq/134666504.html?s=sou_sou_soulb&t=0_0,数据挖掘工程师,五险一金 补充医疗保险 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 加班补贴,1.2-2.4万/月,12-20
61c048af4de410b1db825007,上海-浦东新区3-4年经验本科招2人,上海砾阳软件有限公司,计算机软件,150-500人,https://jobs.51job.com/shanghai-pdxq/136696044.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 加班补贴,1-1.5万/月,12-20
61c048af4de410b1db825008,上海2年经验本科招1人,上海广拓信息技术有限公司,电子技术/半导体/集成电路,150-500人,https://jobs.51job.com/shanghai/62166655.html?s=sou_sou_soulb&t=0_0,C++软件工程师,,1.2-1.8万/月,12-20
61c048af4de410b1db825009,重庆-江北区1年经验本科招3人,重庆润捷盛安信息科技有限公司,计算机软件,少于50人,https://jobs.51job.com/chongqing-jbq/132487801.html?s=sou_sou_soulb&t=0_0,技术分析师助理,,6-8千/月,12-20
61c048af4de410b1db82500a,西安-高新技术产业开发区2年经验本科招2人,丰疆智能科技股份有限公司,计算机软件,500-1000人,https://jobs.51job.com/xian-gxjs/136886036.html?s=sou_sou_soulb&t=0_0,中高级java开发工程师,,1.5-3万/月,12-20
61c048af4de410b1db82500b,北京2年经验硕士招若干人,广州天鹏计算机科技有限公司,计算机软件,150-500人,https://jobs.51job.com/beijing/124957395.html?s=sou_sou_soulb&t=0_0,医学数据挖掘与分析主管/经理,绩效奖金 餐饮补贴 员工旅游 专业培训 股票期权 定期体检 项目奖金 做五休二 交通便利 六险一金,1-2万/月,12-20
61c048af4de410b1db82500c,深圳5-7年经验本科招若干人,深圳织算科技有限公司,计算机服务(系统、数据服务、维修),50-150人,https://jobs.51job.com/shenzhen/126743092.html?s=sou_sou_soulb&t=0_0,容器云开发工程师,,3-4万/月,12-20
61c048af4de410b1db82500d,北京本科招2人,华创高科（北京）技术有限公司,电子技术/半导体/集成电路,150-500人,https://jobs.51job.com/beijing/91420846.html?s=sou_sou_soulb&t=0_0,.net软件开发工程师,,0.8-1万/月,12-20
