lineName,time,price,campony,upline,downline
北京T114路公交车路线,运行时间：香溪郡小区6:00-10:05、16:00-20:40|地铁通州北关站6:35-10:40、16:35-21:15,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价3元。,北京公交集团第五客运分公司(服务热线:010-61502660),香溪郡小区-荷香街路口-岗子路口-徐辛庄-双埠头道口-富豪-富豪南口-北马庄-北马庄南-西潞苑小区-富河园小区-地铁通州北关站,地铁通州北关站-岳庄-皇木厂-富河园小区-西潞苑小区-北马庄南-北马庄-富豪南口-富豪-双埠头道口-徐辛庄-岗子路口-荷香街路口-香溪郡小区
北京T113路公交车路线,运行时间：京东运乔建材城6:00-8:30、16:30-19:30|大方居北门6:30-9:00、17:00-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),京东运乔建材城-运乔嘉园-乔庄-玉桥小区-通州交通队-葛布店东里-葛布店-果园南-东总屯-西总屯-格瑞雅居小区-翠屏西路-怡乐南街公交场站-通州半壁店-大方居北门,大方居北门-怡然世家小区-怡乐南街公交场站-翠屏西路-格瑞雅居小区-西总屯-东总屯-果园南-葛布店-葛布店东里-通州交通队-玉桥小区-乔庄-运乔嘉园-京东运乔建材城
北京T106路公交车路线,运行时间：合生世界村6:00-9:00、16:30-19:30|地铁同济南路站6:25-9:25、16:55-19:55,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),合生世界村-通州温馨家园-晶彩小区-通州姚村-马驹桥二号桥-兴华南街东口-兴华南街-通州第二医院-凉水河桥南-永昌南路南站-地铁同济南路站,地铁同济南路站-永昌南路南站-凉水河桥南-通州第二医院-兴华南街-马驹桥-马驹桥二号桥-通州姚村-晶彩小区-通州温馨家园-合生世界村
北京T105路公交车路线,运行时间：地铁土桥站6:05-9:25、16:05-19:55|环湖小区6:30-9:50、16:30-20:20,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),地铁土桥站-土桥欣村-土桥新桥东-北许场村-张凤路北口-张家湾镇政府-北许场新村-张家湾中心小学-西定福庄北口-云杉路口西-环湖小区北口-环湖小区东门-环湖小区,环湖小区-环湖小区东门-环湖小区北口-云杉路口西-西定福庄北口-张家湾中心小学-北许场新村-张家湾镇政府-张家湾开发区-北许场村-土桥新桥东-土桥欣村-地铁土桥站
北京70路公交车路线,运行时间：角门南站5:30-22:30|西单路口南6:00-23:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团电车客运分公司(服务热线:010-68584543、52958899),角门南站-西马小区-西马场-西马场北口-马家堡东口-洋桥北-四路通-陶然桥北-太平街-虎坊路-虎坊桥路口西-果子巷-菜市口北-校场口-宣武门外-西单路口南,西单路口南-西单路口东-六部口-和平门内-琉璃厂-虎坊桥路口南-太平街北口-太平街-陶然桥北-四路通-洋桥南-马家堡东口-西马场北口-西马场-西马小区-角门南站
北京550路公交车路线,运行时间：云岗5:30-21:15|羊圈头村5:50-21:40,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第三客运分公司(服务热线:010-67606970),云岗-南宫北站-东王佐-王佐学校-王佐卫生院-西王佐北-丰台下庄-侯家峪-沙锅村南站-沙锅村-沙锅村西站-小店-后甫营-西庄店-羊圈头村,羊圈头村-西庄店-后甫营-小店-沙锅村西站-沙锅村-沙锅村南站-侯家峪-丰台下庄-西王佐北-王佐卫生院-王佐学校-东王佐-南宫北站-云岗
北京549路公交车路线,运行时间：厢白旗桥5:30-22:50|四通桥东6:00-23:20,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第四客运分公司(服务热线:010-68683295),厢白旗桥-八家路-大石桥北-大石桥-大石桥南-五道口-清华园-蓝旗营-中关园-中关村东-中关村一街-中关村二桥南-科学院小区-知春里路口南-双榆树公园-四通桥东,四通桥东-人民大学-双榆树小区-知春里路口南-科学院小区-中关村二桥南-中关村一街-中关村北-中关园-蓝旗营-清华园-五道口-大石桥南-大石桥-大石桥北-八家路-厢白旗桥
北京71路公交车路线,运行时间：红寺桥5:20-22:20|友谊医院东6:00-23:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团电车客运分公司(服务热线:010-68584543、52958899),红寺桥-红寺村-红寺村西-双庙-双庙西-南顶路口-南顶路-南顶路西口-南顶村-南顶村北口-海慧寺-海户屯-木樨园桥北-沙子口-永定门内-先农坛-天桥商场-福长街-友谊医院东,友谊医院东-友谊医院-南纬路-天坛西门-先农坛-永定门内-沙子口-木樨园桥北-海户屯-海慧寺-南顶村北口-南顶村-南顶路西口-南顶路-南顶路口-双庙西-双庙-红寺村西-红寺村-红寺桥
北京519区间公交车路线,运行时间：暂无,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第一客运分公司(服务热线:010-84920330),地铁龙泽站-北郊农场桥东-北郊农场桥北-二拨子-朱辛庄-史各庄南-史各庄(定福皇庄南),史各庄(定福皇庄南)-史各庄南-朱辛庄-二拨子-北郊农场桥东-地铁龙泽站
北京125路公交车路线,运行时间：安定门6:00-23:00|芍药居5:30-22:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团电车客运分公司(服务热线:010-68584543、52958899),安定门-地坛西门-和平里中街西口-地坛北门-地铁和平里北街站-和平里西街-和平西桥南-和平西桥北-惠新西街南口-惠新西街-惠新里-对外经贸大学北-中国现代文学馆-育慧南路-望和桥-芍药居,芍药居-中国现代文学馆-对外经贸大学北-惠新里-惠新西街-惠新西街南口-和平西桥北-和平西桥南-和平里西街-和平里中街-地坛东门-地坛南门-安定门
北京121路公交车路线,运行时间：南坞5:30-24:00|阜成门内5:30-24:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价3元。,北京公交集团电车客运分公司(服务热线:010-68584543、52958899),南坞-南坞-东冉村-四季青桥北-四季青桥南-营慧寺-五路桥-定慧桥北-定慧桥东-定慧寺东-西钓鱼台-航天桥西-航天桥东-马神庙-白堆子口东-甘家口东-阜外西口-展览路-阜成门-阜成门内,阜成门内-阜成门-展览路-阜外西口-甘家口东-白堆子口东-马神庙-航天桥东-航天桥西-西钓鱼台-定慧寺东-定慧桥东-定慧桥北-五路桥-营慧寺-四季青桥南-四季青桥北-东冉村-南坞
北京119路公交车路线,运行时间：安定门5:00-23:00|地铁芍药居站5:00-23:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团电车客运分公司(服务热线:010-68584543、52958899),安定门-地坛西门-蒋宅口-小黄庄-青年沟西口-青年沟-青年沟东口-和平里东街-和平东桥北-中日医院-对外经贸大学-惠新东桥南-惠新东桥东-育慧南路-中国现代文学馆-芍药居-芍药居东-地铁芍药居站,地铁芍药居站-育慧南路南口-对外经贸大学东门-中国现代文学馆-对外经贸大学-中日医院-和平东桥南-和平里东街-青年沟东口-青年沟-青年沟西口-小黄庄-蒋宅口-地坛西门-安定门
